[2023-03-05 02-29-31] d=  7, evals=1.0e+03, k= 50, k_top=  5
   rev  : [s =  6.8e+01] Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что Я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что

#     5 : loss =  2.2e+01
   inp  : [s =  1.9e+02] ъяляужь мощыъпз иьллтёу мощыъпз ъяляужь пёыэулм ъяляужь
   out  : [s =  2.2e+01] power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power to power
   rev  : [s =  7.8e+01] власть к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к власти к сила к силе к силе к силе

#     6 : loss =  2.2e+01
   inp  : [s =  3.0e+02] мощыъпз бьвтюья схисеъм бмъчкьь оэеыъьё ъныуазу иощсцйм
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#     7 : loss =  2.2e+01
   inp  : [s =  2.5e+02] мощыъпз ъяляужь ъныуазу мощыъпз оэеыъьё ътшмщэь схисеъм
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.6e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#     8 : loss =  2.2e+01
   inp  : [s =  2.5e+02] мощыъпз ътшмщэь мощыъпз ъоэсйьм схисеъм оэеыъьё ъыклщьн
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#     9 : loss =  2.2e+01
   inp  : [s =  2.6e+02] мощыъпз ъоэсйьм ьвднэйу доцшлмь щаафечу ьвднэйу онуьлйц
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#    10 : loss =  2.2e+01
   inp  : [s =  2.8e+02] мощыъпз ъубщжёь ътшмщэь оэеыъьё иощсцйм ъоэсйьм нмьрщшт
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#    11 : loss =  2.2e+01
   inp  : [s =  2.8e+02] мощыъпз мощыъпз ъыклщьн ъььгрвх иощсцйм кмтсгфк бмъчкьь
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#    12 : loss =  2.2e+01
   inp  : [s =  3.1e+02] мощыъпз бьвтюья бмъчкьь ътшмщэь нзеъёаь бдлпроь ъубщжёь
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  3.7e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#    13 : loss =  2.2e+01
   inp  : [s =  2.7e+02] мощыъпз ътшмщэь ьвднэйу ьвднэйу бмъчкьь нмьрщшт доцшлмь
   out  : [s =  2.2e+01] the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power
   rev  : [s =  3.8e+01] власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть власть

#    14 : loss =  2.9e+01
   inp  : [s =  2.4e+02] бьвтюья бьвтюья доцшлмь ьвднэйу ъяляужь иьеьрёъ ъяляужь
   out  : [s =  2.9e+01] by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way
   rev  : [s =  8.8e+01] между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , кстати , кстати , кстати , кстати, кстати

#    15 : loss =  2.9e+01
   inp  : [s =  1.9e+02] бьвтюья ъубщжёь бьвтюья ъубщжёь бьвтюья смэёыюш ъяляужь
   out  : [s =  2.9e+01] by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way , by the way
   rev  : [s =  8.8e+01] между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , между прочим , кстати , кстати , кстати , кстати, кстати

#    16 : loss =  3.0e+01
   inp  : [s =  2.2e+02] ощуъиъв здблоьп ощуъиъв бмъчкьь ьвднэйу здблоьп ъоэсйьм
   out  : [s =  3.0e+01] Feel it, feel it, feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it
   rev  : [s =  6.5e+01] Почувствуй это, почувствуй это, почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это

#    17 : loss =  3.3e+01
   inp  : [s =  2.4e+02] иысвщёы ъяляужь ощуъиъв мощыъпз ъныуазу ущйинъу ъныуазу
   out  : [s =  3.3e+01] and you will feel the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the power of the
   rev  : [s =  1.1e+02] и вы почувствуете мощь мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи мощи о силе, о силе, о силе, о

#    18 : loss =  3.7e+01
   inp  : [s =  2.7e+02] ъяляужь иысвщёы иьллтёу оэеыъьё щаафечу мощыъпз ощуъиъв
   out  : [s =  3.7e+01] I will be able to feel the power of the heart.
   rev  : [s =  7.8e+01] Я смогу почувствовать силу сердца.

#    19 : loss =  3.9e+01
   inp  : [s =  2.8e+02] мощыъпз ущйинъу ъубщжёь ътшмщэь кццжйхк нмьрщшт ъоэсйьм
   out  : [s =  3.9e+01] the power of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the nip of the
   rev  : [s = -1.0e+00] сила прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновения прикосновение к прикосновению к

#    20 : loss =  4.0e+01
   inp  : [s =  2.3e+02] ъяляужь ощуъиъв ощуъиъв ъубщжёь нзеъёаь йьаёьеб бмъчкьь
   out  : [s =  4.0e+01] You can feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it , feel it .
   rev  : [s =  1.0e+02] Ты можешь чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , чувствовать это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это , почувствуй это .

#    21 : loss =  4.2e+01
   inp  : [s =  2.9e+02] ъяляужь бдлпроь иьллтёу бьвтюья ьвднэйу бьвтюья иысвщёы
   out  : [s =  4.2e+01] I will be able to see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will see if I will
   rev  : [s =  1.1e+02] Я смогу увидеть, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, если я увижу, увижу ли я, увижу ли я, увижу ли я, увижу ли я

#    22 : loss =  4.3e+01
   inp  : [s =  2.1e+02] мощыъпз ъубщжёь мощыъпз ощуъиъв доцшлмь мощыъпз иысвщёы
   out  : [s =  4.3e+01] The power of the mind is the power of the mind , the power of the mind is the power of the mind , the power of the mind is the power of the mind , the power of the mind is the power of the mind , the power of the mind is the power of the mind , the power of the mind is the power of the mind .
   rev  : [s =  9.2e+01] Сила ума - это сила ума , сила ума - это сила ума , сила ума - это сила ума , сила ума - это сила ума , сила ума - это сила ума , сила ума - это сила ума , сила ума - это сила разума.

#    23 : loss =  4.3e+01
   inp  : [s =  2.5e+02] мощыъпз ъныуазу оэеыъьё ощуъиъв ъныуазу доцшлмь нзеъёаь
   out  : [s =  4.3e+01] the power of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye
   rev  : [s =  5.8e+01] сила ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока око ока ока ока ока ока ока ока

#    24 : loss =  4.3e+01
   inp  : [s =  2.5e+02] мощыъпз ущйинъу онуьлйц мощыъпз ъныуазу иощсцйм ощуъиъв
   out  : [s =  4.3e+01] the power of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye of the eye
   rev  : [s =  5.8e+01] сила ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока ока око ока ока ока ока ока ока ока

#    25 : loss =  4.6e+01
   inp  : [s =  3.0e+02] бьвтюья ощуъиъв смэёыюш мощыъпз иысвщёы ьвднэйу нзеъёаь
   out  : [s =  4.6e+01] I feel like I can feel the power of the heart and the power of the heart.
   rev  : [s =  1.0e+02] Я чувствую, что могу чувствовать силу сердца и мощь сердца.

#    26 : loss =  4.6e+01
   inp  : [s =  2.8e+02] бьвтюья иысвщёы бьвтюья здблоьп щаафечу шэьдкйя доцшлмь
   out  : [s =  4.6e+01] I'm sorry, I 'm sorry , I 'm sorry , I 'm sorry , I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry, I 'm sorry.
   rev  : [s =  8.1e+01] Мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, я прости, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль, мне жаль.

#    27 : loss =  4.7e+01
   inp  : [s =  2.6e+02] ощуъиъв доцшлмь ъныуазу онуьлйц ьвднэйу здблоьп ьвднэйу
   out  : [s =  4.7e+01] I feel like I 'm on the right side of the right side of the right side of the right side of the right side of the right side of the right side
   rev  : [s =  1.2e+02] Я чувствую, что нахожусь на правильной стороне, на правой стороне, на правой стороне, на правой стороне, на правой стороне, на правой стороне, на правой стороне.

#    28 : loss =  4.8e+01
   inp  : [s =  2.7e+02] мощыъпз иьеьрёъ ощуъиъв иьллтёу смэёыюш ъубщжёь ъяляужь
   out  : [s =  4.8e+01] the power of the heart and the feeling of the heart and the heart of the soul
   rev  : [s =  7.3e+01] сила сердца, и чувство сердца, и сердце души

#    29 : loss =  4.9e+01
   inp  : [s =  2.7e+02] ъяляужь иощсцйм нзеъёаь иьллтёу иьллтёу иьеьрёъ бьвтюья
   out  : [s =  4.9e+01] I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you .
   rev  : [s =  6.8e+01] Я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя.

#    30 : loss =  4.9e+01
   inp  : [s =  2.6e+02] ъяляужь иьллтёу ьвднэйу иысвщёы ъяляужь ущйинъу бьвтюья
   out  : [s =  4.9e+01] yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu
   rev  : [s =  6.8e+01] лту лту юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу
   WRN  : rev != "ltu ltu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu"

#    31 : loss =  4.9e+01
   inp  : [s =  2.9e+02] иьеьрёъ ъяляужь иысвщёы ъоэсйьм иьллтёу иощсцйм бмъчкьь
   out  : [s =  4.9e+01] I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you , I 'm here for you .
   rev  : [s =  6.8e+01] Я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя , я здесь ради тебя.

#    32 : loss =  4.9e+01
   inp  : [s =  1.9e+02] иьллтёу иьллтёу ъубщжёь ъубщжёь ъубщжёь йьаёьеб ъоэсйьм
   out  : [s =  4.9e+01] yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu
   rev  : [s =  6.9e+01] лту лту юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу юллтеу
   WRN  : rev != "ltu ltu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu yllteu"

#    33 : loss =  5.1e+01
   inp  : [s =  2.9e+02] иьеьрёъ щаафечу нзеъёаь бьвтюья шэьдкйя пёыэулм ъяляужь
   out  : [s =  5.1e+01] I 'm here now , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here , I 'm here .
   rev  : [s =  9.1e+01] Я сейчас здесь, я здесь , я здесь , я здесь, я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , Я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь , я здесь .

#    34 : loss =  5.2e+01
   inp  : [s =  2.6e+02] щаафечу здблоьп ощуъиъв иьеьрёъ йьаёьеб нмьрщшт йьаёьеб
   out  : [s =  5.2e+01] Right now , I feel like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling like I 'm feeling
   rev  : [s =  1.0e+02] Прямо сейчас я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую, что я чувствую как будто я чувствую, как будто я чувствую, как будто я чувствую, как будто я чувствую, как будто я чувствую, как будто я чувствую, как будто я чувствую, как будто я чувствую

#    35 : loss =  5.6e+01
   inp  : [s =  2.8e+02] ощуъиъв ъыклщьн щаафечу ътшмщэь бдлпроь флжсйид ъоэсйьм
   out  : [s =  5.6e+01] I feel like I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a good time , I 'm going to have a
   rev  : [s =  1.3e+02] Я чувствую, что я собираюсь хорошо провести время, я собираюсь хорошо провести время, я собираюсь хорошо провести время, я собираюсь хорошо провести время, я собираюсь хорошо провести время, я собираюсь хорошо провести хорошо проведу время, я собираюсь хорошо провести время, я собираюсь хорошо провести время, я собираюсь провести

#    36 : loss =  5.6e+01
   inp  : [s =  2.5e+02] ощуъиъв доцшлмь ъяляужь схисеъм ъубщжёь ьвднэйу ъныуазу
   out  : [s =  5.6e+01] I feel like I 'm in the middle of a fight , I 'm in the middle of a fight , I 'm in the middle of a fight .
   rev  : [s =  1.3e+02] Я чувствую себя так, словно нахожусь в эпицентре драки, я в эпицентре драки, я в эпицентре драки.

#    37 : loss =  5.9e+01
   inp  : [s =  2.5e+02] ощуъиъв доцшлмь бдлпроь ущйинъу доцшлмь ъяляужь ьвднэйу
   out  : [s =  5.9e+01] I feel like I 'm an assistant professor , I feel like I 'm an assistant professor , I feel like I 'm an assistant professor .
   rev  : [s =  6.6e+01] Я чувствую, что я доцент, я чувствую, что я доцент, я чувствую, что я доцент.

#    38 : loss =  6.0e+01
   inp  : [s =  2.5e+02] ъяляужь щаафечу здблоьп смэёыюш ъоэсйьм доцшлмь ъоэсйьм
   out  : [s =  6.0e+01] Here I am , now I 'm here , I 'm here , I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here, I 'm here .
   rev  : [s =  7.6e+01] Вот я, теперь я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, Я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь, я здесь.

#    39 : loss =  6.1e+01
   inp  : [s =  2.6e+02] ъяляужь щаафечу ъубщжёь ущйинъу кмтсгфк доцшлмь пёыэулм
   out  : [s =  6.1e+01] I 'm going to have to do it now , I 'm going to have to do it again , I 'm going to have to do it again .
   rev  : [s =  8.8e+01] Я собираюсь сделать это сейчас, я собираюсь сделать это снова, я собираюсь сделать это снова.

#    40 : loss =  6.2e+01
   inp  : [s =  2.5e+02] ощуъиъв нзеъёаь бьвтюья доцшлмь ъяляужь ъььгрвх нзеъёаь
   out  : [s =  6.2e+01] I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted , I feel like I 'm being assaulted .
   rev  : [s =  1.3e+02] Я чувствую, что на меня нападают, я чувствую, что на меня нападают, я чувствую, что на меня нападают, я чувствую, что на меня нападают, я чувствую, что на меня нападают, я чувствую, что на меня нападают, я чувствую, что я подвергаясь нападению, я чувствую, что на меня нападают.

#    41 : loss =  6.4e+01
   inp  : [s =  2.5e+02] мощыъпз щаафечу йьаёьеб ощуъиъв нзеъёаь ощуъиъв иысвщёы
   out  : [s =  6.4e+01] The power of the heart is now being felt by the heart of the heart .
   rev  : [s =  9.0e+01] Сила сердца теперь ощущается сердцем сердца.

#    42 : loss =  6.9e+01
   inp  : [s =  3.0e+02] ъяляужь бдлпроь щаафечу ьвднэйу иьеьрёъ ъубщжёь кццжйхк
   out  : [s =  6.9e+01] I 'm going to have to go back to bed , I 'm going to have to go to bed , I 'm going to go to bed , I 'm going to go to bed , I 'm going to go to bed , I 'm going to go to bed , I 'm going to go to bed , I 'm going to go to bed , I 'm going to go to bed .
   rev  : [s =  1.9e+02] Мне придется вернуться в постель, мне придется лечь в постель, я собираюсь лечь в постель, я собираюсь лечь в постель , я собираюсь лечь в постель , я собираюсь лечь в постель , я я собираюсь лечь спать , я собираюсь лечь спать , я собираюсь лечь спать.

#    43 : loss =  7.5e+01
   inp  : [s =  2.8e+02] ощуъиъв ъыклщьн здблоьп иысвщёы бмъчкьь ътшмщэь нзеъёаь
   out  : [s =  7.5e+01] I feel like I 'm going to be healthy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy , and I feel like I 'm going to be happy .
   rev  : [s =  1.2e+02] Я чувствую, что я буду здоров, и я чувствую, что я буду счастлив, и я чувствую, что я буду счастлив, и я чувствую, что я буду счастлив, и я чувствую, что я буду счастлив, и Я чувствую, что я буду счастлив, и я чувствую, что я буду счастлив, и я чувствую, что я буду счастлив.

#    44 : loss =  8.9e+01
   inp  : [s =  2.8e+02] ощуъиъв схисеъм бьвтюья пёыэулм ъяляужь ъубщжёь флжсйид
