[2023-03-06 05-06-07] d=  7, evals=1.0e+03, k= 50, k_top=  5
   inp  : [s =  2.4e+02] ъыллщьн ъыллщьн ъёефнся ъувщжёь ъфкщтнэ бйввкшя ъокнёйф
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    13 : loss =  2.2e+01
   inp  : [s =  2.8e+02] ъыллщьн ъыьгрвх дщижщяп вытёщдч ъувщжёь ъбывзлц ъухвмгс
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    14 : loss =  2.2e+01
   inp  : [s =  2.3e+02] ъжлхчлы ъфкщтнэ пщмёжны ъфъыхлч ъфкщтнэ ъфоъкцж быошийя
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    15 : loss =  2.2e+01
   inp  : [s =  2.7e+02] ъувщжёь ъоэсйьл ъбывзлц мощыъпз ъыллщьн пщмёжны жхнаеыь
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    16 : loss =  2.2e+01
   inp  : [s =  2.7e+02] ъыллщьн ътшлшэь пёвюмыц ъоэсйьл ъыллщьн жхнаеыь зсзгвлэ
   out  : [s =  2.2e+01] Kommersant Kommersant
   rev  : [s =  2.2e+01] Kommersant Kommersant

#    17 : loss =  2.3e+01
   inp  : [s =  1.9e+02] ъувщжёь ъувщжёь ътшлшэь ъокнёйф ъныуазу йтдкцяе ътшлшэь
   out  : [s =  2.3e+01] Knight Kommersant
   rev  : [s =  4.2e+01] Рыцарь Коммерс

#    18 : loss =  2.6e+01
   inp  : [s =  2.8e+02] ъбывзлц ътшлшэь штшнлхж гяшрьнп быошийя ъыллщьн пёвюмыц
   out  : [s =  2.6e+01] Kommersants Kommersant
   rev  : [s =  2.6e+01] Kommersants Kommersant

#    19 : loss =  2.6e+01
   inp  : [s =  2.3e+02] уясъцёь ъувщжёь здкънсп ъыллщьн ъувщжёь гфоаььн вытёщдч
   out  : [s =  2.6e+01] understanding of the bunny
   rev  : [s =  3.5e+01] понимание кролика

#    20 : loss =  2.6e+01
   inp  : [s =  2.5e+02] ъфоъкцж ъфоъкцж уясъцёь пёвюмыц ъоэсйьл дщижщяп бяёщжии
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    21 : loss =  2.6e+01
   inp  : [s =  2.1e+02] ъфъыхлч ътшлшэь ъфъыхлч ътшлшэь гфоаььн уясъцёь ъухвмгс
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    22 : loss =  2.6e+01
   inp  : [s =  2.9e+02] ъыллщьн ъбывзлц ъфкщтнэ ъжлхчлы дщижщяп зсзгвлэ штшнлхж
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    23 : loss =  2.6e+01
   inp  : [s =  2.8e+02] ъыьгрвх ътшлшэь ъфъыхлч йтдкцяе гяшрьнп ъыллщьн ъфоъкцж
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    24 : loss =  2.6e+01
   inp  : [s =  2.1e+02] ътшлшэь ъыьгрвх ъбывзлц ътшлшэь ъбывзлц ъыллщьн ъёефнся
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    25 : loss =  2.6e+01
   inp  : [s =  2.1e+02] ъувщжёь ъувщжёь ъыьгрвх ъувщжёь ъныуазу гфоаььн ъфоъкцж
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    26 : loss =  2.6e+01
   inp  : [s =  2.2e+02] ъфъыхлч ъоэсйьл ъбывзлц бщагчёщ ъоэсйьл уясъцёь ъоэсйьл
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    27 : loss =  2.6e+01
   inp  : [s =  2.8e+02] ъбывзлц ъувщжёь ъыллщьн штшнлхж мощыъпз бйввкшя уясъцёь
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    28 : loss =  2.6e+01
   inp  : [s =  2.6e+02] ъёефнся ъбывзлц ъжлхчлы быошийя йтдкцяе вытёщдч ъфкщтнэ
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    29 : loss =  2.6e+01
   inp  : [s =  2.9e+02] ъныуазу ъувщжёь ъыьгрвх ъоэсйьл зсзгвлэ доцшлны ътшлшэь
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    30 : loss =  2.6e+01
   inp  : [s =  2.5e+02] ъфъыхлч ътшлшэь ъфкщтнэ пёвюмыц штшнлхж ъжлхчлы ъныуазу
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    31 : loss =  2.6e+01
   inp  : [s =  2.7e+02] ъжлхчлы ъоэсйьл ъыллщьн ъбывзлц гяшрьнп зсзгвлэ ъбывзлц
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    32 : loss =  2.6e+01
   inp  : [s =  2.5e+02] ъныуазу доцшлны ъжлхчлы гяшрьнп бяёщжии ъжлхчлы штшнлхж
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    33 : loss =  2.6e+01
   inp  : [s =  2.4e+02] ъфъыхлч ъоэсйьл ъбывзлц ъфъыхлч ъфоъкцж ъыьгрвх вытёщдч
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    34 : loss =  2.6e+01
   inp  : [s =  2.7e+02] ъжлхчлы ъувщжёь ъфкщтнэ штшнлхж уясъцёь пщмёжны птйдфдц
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    35 : loss =  2.6e+01
   inp  : [s =  1.7e+02] ъфъыхлч ътшлшэь ъфъыхлч ъокнёйф ъфъыхлч ъфъыхлч жхнаеыь
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    36 : loss =  2.6e+01
   inp  : [s =  2.4e+02] ъыллщьн ъёефнся ъфъыхлч ъокнёйф гяшрьнп ъувщжёь гяшрьнп
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    37 : loss =  2.6e+01
   inp  : [s =  2.6e+02] ъфоъкцж ъбывзлц бяёщжии ъокнёйф здкънсп бщагчёщ ъухвмгс
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    38 : loss =  2.6e+01
   inp  : [s =  2.1e+02] ъувщжёь ъжлхчлы ътшлшэь бяёщжии ъжлхчлы уясъцёь вытёщдч
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    39 : loss =  2.6e+01
   inp  : [s =  2.7e+02] ъыьгрвх ътшлшэь ъфкщтнэ пщмёжны ъбывзлц ъыллщьн пёвюмыц
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    40 : loss =  2.6e+01
   inp  : [s =  2.4e+02] ътшлшэь ъбывзлц ъувщжёь здкънсп йтдкцяе йтдкцяе штшнлхж
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    41 : loss =  2.6e+01
   inp  : [s =  2.8e+02] ъбывзлц ъувщжёь ъфоъкцж бщагчёщ ъухвмгс гфоаььн ъныуазу
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    42 : loss =  2.6e+01
   inp  : [s =  2.8e+02] ъныуазу ъоэсйьл ъувщжёь ъфкщтнэ вытёщдч бйввкшя доцшлны
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    43 : loss =  2.6e+01
   inp  : [s =  2.3e+02] ъыллщьн ъокнёйф ътшлшэь гяшрьнп гяшрьнп пщмёжны ъухвмгс
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    44 : loss =  2.6e+01
   inp  : [s =  2.3e+02] ъыьгрвх доцшлны ъыллщьн штшнлхж ъыьгрвх ъыьгрвх уясъцёь
   out  : [s =  2.6e+01] Kommersant Kommersant Kommersant
   rev  : [s =  2.6e+01] Kommersant Kommersant Kommersant

#    45 : loss =  2.7e+01
   inp  : [s =  2.3e+02] ъфъыхлч ъыллщьн ъухвмгс ъфъыхлч дщижщяп ъыллщьн птйдфдц
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant

#    46 : loss =  2.7e+01
   inp  : [s =  2.5e+02] ъыллщьн ъфоъкцж ъыьгрвх ъфъыхлч ъыллщьн пщмёжны йтдкцяе
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant

#    47 : loss =  2.7e+01
   inp  : [s =  2.7e+02] ъныуазу ътшлшэь доцшлны ъыллщьн ъжлхчлы зсзгвлэ быошийя
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant Kommersant

#    48 : loss =  2.7e+01
   inp  : [s =  2.6e+02] ъфъыхлч пщмёжны ъыьгрвх ъыьгрвх ъфоъкцж бйввкшя мощыъпз
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    49 : loss =  2.7e+01
   inp  : [s =  2.7e+02] ъжлхчлы ъныуазу ъфкщтнэ ъыллщьн жхнаеыь ъухвмгс доцшлны
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    50 : loss =  2.7e+01
   inp  : [s =  2.7e+02] ътшлшэь ъыллщьн ъжлхчлы ъныуазу уясъцёь птйдфдц гяшрьнп
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    51 : loss =  2.7e+01
   inp  : [s =  2.4e+02] ъыллщьн ъыллщьн ъныуазу ъжлхчлы быошийя ъухвмгс ъфкщтнэ
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    52 : loss =  2.7e+01
   inp  : [s =  2.5e+02] ъбывзлц ъувщжёь ъфкщтнэ ъжлхчлы ъжлхчлы бщагчёщ пёвюмыц
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    53 : loss =  2.7e+01
   inp  : [s =  2.4e+02] ъжлхчлы ъфкщтнэ доцшлны ъныуазу бщагчёщ ъныуазу ъокнёйф
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    54 : loss =  2.7e+01
   inp  : [s =  2.5e+02] ъувщжёь ъныуазу ъжлхчлы ъыьгрвх гфоаььн ъныуазу штшнлхж
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    55 : loss =  2.7e+01
   inp  : [s =  2.6e+02] ъжлхчлы ъфъыхлч ъфкщтнэ ъувщжёь ъныуазу ъыллщьн ъфоъкцж
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    56 : loss =  2.7e+01
   inp  : [s =  2.8e+02] ътшлшэь ъжлхчлы ъоэсйьл ъбывзлц ъухвмгс дщижщяп пёвюмыц
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    57 : loss =  2.7e+01
   inp  : [s =  2.0e+02] ъжлхчлы ъфъыхлч ъфъыхлч ъфоъкцж уясъцёь ъфъыхлч штшнлхж
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    58 : loss =  2.7e+01
   inp  : [s =  2.6e+02] ъфъыхлч ъыьгрвх ътшлшэь ъувщжёь ъоэсйьл ъухвмгс быошийя
   out  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  2.7e+01] Kommersant Kommersant Kommersant Kommersant

#    59 : loss =  2.7e+01
   inp  : [s =  2.6e+02] уясъцёь ъыллщьн пщмёжны ъныуазу йтдкцяе бщагчёщ ъёефнся
   out  : [s =  2.7e+01] understanding of the bang
   rev  : [s =  3.1e+01] понимание взрыва

#    60 : loss =  2.8e+01
   inp  : [s =  2.7e+02] ъыьгрвх уясъцёь вытёщдч ъжлхчлы уясъцёь гфоаььн быошийя
   out  : [s =  2.8e+01] Kommersant City
   rev  : [s =  2.8e+01] Kommersant City

#    61 : loss =  3.1e+01
   inp  : [s =  2.3e+02] доцшлны ъувщжёь ъувщжёь ътшлшэь гяшрьнп ъокнёйф ъухвмгс
   out  : [s =  3.1e+01] Associate Professor Kommersant Kommersant
   rev  : [s =  6.4e+01] Доцент профессор Kommersant Kommersant

#    62 : loss =  3.2e+01
   inp  : [s =  2.4e+02] ътшлшэь ъувщжёь ъёефнся быошийя ъфъыхлч вытёщдч ъокнёйф
   out  : [s =  3.2e+01] Kommersant Knight
   rev  : [s =  3.2e+01] Kommersant Knight

#    63 : loss =  3.2e+01
   inp  : [s =  2.7e+02] ъфъыхлч ъувщжёь бяёщжии пщмёжны зсзгвлэ йтдкцяе уясъцёь
   out  : [s =  3.2e+01] Kommersant Knight
   rev  : [s =  3.2e+01] Kommersant Knight

#    64 : loss =  3.2e+01
   inp  : [s =  2.5e+02] ъжлхчлы ъувщжёь пщмёжны бщагчёщ бщагчёщ йтдкцяе ъыьгрвх
   out  : [s =  3.2e+01] Kommersant Knight
   rev  : [s =  3.2e+01] Kommersant Knight

#    65 : loss =  3.4e+01
   inp  : [s =  2.9e+02] ъыллщьн ъыьгрвх пёвюмыц ъухвмгс ъныуазу ъоэсйьл зсзгвлэ
   out  : [s =  3.4e+01] Kommersant Kommersan
   rev  : [s =  3.4e+01] Kommersant Kommersan

#    66 : loss =  3.4e+01
   inp  : [s =  2.5e+02] ъыллщьн дщижщяп ъыллщьн ъёефнся пщмёжны ъфоъкцж ъбывзлц
   out  : [s =  3.4e+01] Kommersant Kommersan
   rev  : [s =  3.4e+01] Kommersant Kommersan

#    67 : loss =  3.5e+01
   inp  : [s =  2.8e+02] мощыъпз ъоэсйьл ъфъыхлч жхнаеыь ъжлхчлы гяшрьнп гяшрьнп
   out  : [s =  3.5e+01] Power of the Kommersant Kommersant
   rev  : [s =  4.8e+01] Власть коммерсантного

#    68 : loss =  3.5e+01
   inp  : [s =  2.7e+02] мощыъпз ъбывзлц ъувщжёь бщагчёщ ъыллщьн ъжлхчлы ъыьгрвх
   out  : [s =  3.5e+01] Power of the Kommersant Kommersant
   rev  : [s =  4.8e+01] Власть коммерсантного

#    69 : loss =  3.5e+01
   inp  : [s =  2.4e+02] вытёщдч ъёефнся ъыллщьн ъыьгрвх ътшлшэь бщагчёщ ъыллщьн
   out  : [s =  3.5e+01] priest -bucket bucket
   rev  : [s =  5.7e+01] Священник -Bucket Bucket

#    70 : loss =  3.5e+01
   inp  : [s =  2.5e+02] ътшлшэь ъоэсйьл ъухвмгс пёвюмыц гфоаььн ъбывзлц ъбывзлц
   out  : [s =  3.5e+01] Kommersant Kommersant Kommersan
   rev  : [s =  3.5e+01] Kommersant Kommersant Kommersan

#    71 : loss =  3.6e+01
   inp  : [s =  2.8e+02] быошийя ъбывзлц ъжлхчлы мощыъпз йтдкцяе здкънсп ъфоъкцж
   out  : [s =  3.6e+01] I would be Kn.
   rev  : [s =  3.4e+01] Я был бы на.

#    72 : loss =  3.6e+01
   inp  : [s =  2.6e+02] вытёщдч ъувщжёь ъбывзлц ъыьгрвх бщагчёщ уясъцёь ъыллщьн
   out  : [s =  3.6e+01] priests Kommersant Kommersant
   rev  : [s =  4.8e+01] Священники Kommersant Kommersant

#    73 : loss =  3.7e+01
   inp  : [s =  2.6e+02] доцшлны ъокнёйф ътшлшэь ъыьгрвх пёвюмыц здкънсп ъёефнся
   out  : [s =  3.7e+01] Associate Professor Kommersant Kommersant Kommersant
   rev  : [s =  6.9e+01] Доцент профессор Kommersant Kommersant Kommersant

#    74 : loss =  3.7e+01
   inp  : [s =  2.4e+02] ъокнёйф ъныуазу ъыллщьн ъокнёйф бяёщжии гяшрьнп ъжлхчлы
   out  : [s =  3.7e+01] Consumer Kommersant Kommersan
   rev  : [s =  5.5e+01] Потребитель Kommersant Kommersan

#    75 : loss =  3.7e+01
   inp  : [s =  2.5e+02] ъувщжёь ъфкщтнэ уясъцёь ъёефнся пщмёжны ъфъыхлч гфоаььн
   out  : [s =  3.7e+01] Kommersant Kommersant's understanding
   rev  : [s =  4.2e+01] Понимание Kommersant Kommersant

#    76 : loss =  3.7e+01
   inp  : [s =  2.3e+02] ъокнёйф ътшлшэь ъоэсйьл ъыьгрвх ъоэсйьл штшнлхж жхнаеыь
   out  : [s =  3.7e+01] Conshew Kommersant
   rev  : [s =  4.7e+01] Консш -Коммерс

#    77 : loss =  3.7e+01
   inp  : [s =  2.3e+02] ъокнёйф ътшлшэь ъбывзлц быошийя гфоаььн ъбывзлц ъыллщьн
   out  : [s =  3.7e+01] Conshew Kommersant
   rev  : [s =  4.7e+01] Консш -Коммерс

#    78 : loss =  3.8e+01
   inp  : [s =  2.6e+02] мощыъпз ъыллщьн ъфъыхлч ъокнёйф ъоэсйьл зсзгвлэ ъокнёйф
   out  : [s =  3.8e+01] Power of the Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  8.4e+01] Власть коммерсантного коммерса kommersant kommersant

#    79 : loss =  3.8e+01
   inp  : [s =  2.3e+02] ъфоъкцж ътшлшэь бщагчёщ ъыллщьн ъёефнся бщагчёщ бяёщжии
   out  : [s =  3.8e+01] Kommersant Kommersen
   rev  : [s =  3.8e+01] Kommersant Kommersen

#    80 : loss =  3.9e+01
   inp  : [s =  2.5e+02] ъыллщьн доцшлны ъфъыхлч вытёщдч ъжлхчлы ъухвмгс ъфъыхлч
   out  : [s =  3.9e+01] Kommersant Kommersant Kommersanth
   rev  : [s =  4.0e+01] Kommersant Kommersant Kommersantth

#    81 : loss =  3.9e+01
   inp  : [s =  2.6e+02] ъбывзлц ъфъыхлч ъныуазу бщагчёщ йтдкцяе ъухвмгс йтдкцяе
   out  : [s =  3.9e+01] Kommersantk Kommersant Kommersant
   rev  : [s =  3.9e+01] Kommersantk Kommersant Kommersant

#    82 : loss =  3.9e+01
   inp  : [s =  2.3e+02] уясъцёь ъувщжёь ъувщжёь ъбывзлц пёвюмыц птйдфдц ъухвмгс
   out  : [s =  3.9e+01] understanding of Kommersant Kommersant
   rev  : [s =  4.0e+01] Понимание коммерса

#    83 : loss =  3.9e+01
   inp  : [s =  2.8e+02] ъжлхчлы мощыъпз ъфкщтнэ ъыьгрвх ъыллщьн бйввкшя штшнлхж
   out  : [s =  3.9e+01] Kommersant Power Kommersant Kommersant
   rev  : [s =  3.9e+01] Kommersant Power Kommersant Kommersant

#    84 : loss =  3.9e+01
   inp  : [s =  2.4e+02] жхнаеыь ъувщжёь ъфоъкцж пщмёжны ъфъыхлч ъувщжёь бяёщжии
   out  : [s =  3.9e+01] grunts Kommersant Kommersant
   rev  : [s =  4.0e+01] Грант Kommersant Kommersant

#    85 : loss =  3.9e+01
   inp  : [s =  2.4e+02] ъувщжёь пщмёжны ътшлшэь йтдкцяе ъоэсйьл ътшлшэь ъфъыхлч
   out  : [s =  3.9e+01] Knuvasya
   rev  : [s =  3.6e+01] Кнувасья

#    86 : loss =  4.0e+01
   inp  : [s =  2.3e+02] ъёефнся ъфъыхлч ъфъыхлч птйдфдц ъбывзлц ъныуазу ъфоъкцж
   out  : [s =  4.0e+01] Kommersant Kommersant Kommersantc
   rev  : [s =  4.0e+01] Kommersant Kommersant Kommersantc

#    87 : loss =  4.1e+01
   inp  : [s =  2.7e+02] уясъцёь дщижщяп штшнлхж пщмёжны пёвюмыц ъныуазу ъокнёйф
   out  : [s =  4.1e+01] understanding of the throat of the stamp
   rev  : [s =  5.1e+01] Понимание горла марки

#    88 : loss =  4.2e+01
   inp  : [s =  2.8e+02] ъыллщьн ъныуазу ъфъыхлч бйввкшя ъокнёйф ъжлхчлы пёвюмыц
   out  : [s =  4.2e+01] Kommersant Kommersant Kommersen
   rev  : [s =  4.2e+01] Kommersant Kommersant Kommersen

#    89 : loss =  4.2e+01
   inp  : [s =  2.8e+02] доцшлны ъыллщьн ъыьгрвх ъфкщтнэ ъбывзлц йтдкцяе жхнаеыь
   out  : [s =  4.2e+01] Assembled Kommersant Kommersant Kommersant
   rev  : [s =  4.7e+01] Собранный Kommersant Kommersant Kommersant

#    90 : loss =  4.2e+01
   inp  : [s =  2.5e+02] доцшлны ъфкщтнэ ъыьгрвх уясъцёь ъфоъкцж доцшлны быошийя
   out  : [s =  4.2e+01] Assembled Kommersant Kommersant Kommersant Kommersant
   rev  : [s =  6.0e+01] Собранный коммерсентный коммерский коммерс

#    91 : loss =  4.2e+01
   inp  : [s =  2.8e+02] жхнаеыь ъныуазу ъыьгрвх ъувщжёь пёвюмыц здкънсп ътшлшэь
   out  : [s =  4.2e+01] grunts Kommersant Kommersant Kommersant
   rev  : [s =  4.5e+01] Грант Kommersant Kommersant Kommersant

#    92 : loss =  4.2e+01
   inp  : [s =  2.5e+02] ъокнёйф ъныуазу ъоэсйьл дщижщяп ъухвмгс быошийя ъоэсйьл
   out  : [s =  4.2e+01] Knowyuf Kommersant Kommersant
   rev  : [s =  4.2e+01] Knowyuf Kommersant Kommersant

#    93 : loss =  4.2e+01
   inp  : [s =  2.3e+02] ъокнёйф ътшлшэь ъувщжёь ъокнёйф бяёщжии гфоаььн ъухвмгс
   out  : [s =  4.2e+01] Conshew Kommersant Kommersant
   rev  : [s =  4.2e+01] Conshew Kommersant Kommersant

#    94 : loss =  4.3e+01
   inp  : [s =  2.1e+02] ътшлшэь пщмёжны ъувщжёь птйдфдц ътшлшэь птйдфдц бяёщжии
   out  : [s =  4.3e+01] Kommersant Kommersnya
   rev  : [s =  4.3e+01] Kommersant Kommersnya

#    95 : loss =  4.3e+01
   inp  : [s =  2.8e+02] ъыллщьн уясъцёь мощыъпз ъфъыхлч бяёщжии пщмёжны ътшлшэь
   out  : [s =  4.3e+01] Kommersant's power of power
   rev  : [s =  4.2e+01] Сила власти Kommersant

#    96 : loss =  4.4e+01
   inp  : [s =  2.7e+02] ъёефнся вытёщдч ъоэсйьл уясъцёь гяшрьнп ътшлшэь йтдкцяе
   out  : [s =  4.4e+01] Fucking a priest bite
   rev  : [s =  7.0e+01] Чертовски укусить священника

#    97 : loss =  4.4e+01
   inp  : [s =  2.9e+02] быошийя ъфоъкцж ъфъыхлч ъбывзлц ъыллщьн бйввкшя уясъцёь
   out  : [s =  4.4e+01] I would be Kommersant Kommersant Kommersant
   rev  : [s =  5.0e+01] Я был бы Kommersant Kommersant Kommersant

