[2023-03-06 00-13-56] d=  7, evals=1.0e+03, k= 50, k_top=  5
   inp  : [s =  4.6e+01] ъухвмгс
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    21 : loss = -3.1e+01
   inp  : [s =  4.5e+01] ъбывзлц
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    22 : loss = -3.0e+01
   inp  : [s =  4.2e+01] бяёщжии
   out  : [s =  1.2e+01] beads
   rev  : [s =  1.7e+01] бусы

#    23 : loss = -3.0e+01
   inp  : [s =  4.0e+01] ъокнёйф
   out  : [s =  1.0e+01] Continuity
   rev  : [s =  3.5e+01] Непрерывность

#    24 : loss = -3.0e+01
   inp  : [s =  4.5e+01] ъфъыхлч
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    25 : loss = -3.0e+01
   inp  : [s =  5.3e+01] птйдфдц
   out  : [s =  2.3e+01] PTDDC
   rev  : [s =  3.3e+01] Ptddc

#    26 : loss = -3.0e+01
   inp  : [s =  4.1e+01] йтдкцяе
   out  : [s =  1.2e+01] induction
   rev  : [s =  2.2e+01] индукция

#    27 : loss = -2.9e+01
   inp  : [s =  3.9e+01] уясъцёь
   out  : [s =  9.5e+00] understanding
   rev  : [s =  1.9e+01] понимание

#    28 : loss = -2.9e+01
   inp  : [s =  5.6e+01] зсзгвлэ
   out  : [s =  2.6e+01] ZSZGLE
   rev  : [s =  3.0e+01] Zszgle

#    29 : loss = -2.9e+01
   inp  : [s =  4.3e+01] ъфоъкцж
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    30 : loss = -2.9e+01
   inp  : [s =  4.2e+01] жхнаеыь
   out  : [s =  1.3e+01] grunts
   rev  : [s =  1.8e+01] ворчание

#    31 : loss = -2.9e+01
   inp  : [s =  4.3e+01] ъфкщтнэ
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    32 : loss = -2.8e+01
   inp  : [s =  4.3e+01] ъныуазу
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    33 : loss = -2.8e+01
   inp  : [s =  4.6e+01] гфоаььн
   out  : [s =  1.8e+01] fifajn
   rev  : [s =  2.7e+01] ФИФАЙН

#    34 : loss = -2.8e+01
   inp  : [s =  4.2e+01] ълйахър
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    35 : loss = -2.8e+01
   inp  : [s =  4.2e+01] ъуххлйт
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    36 : loss = -2.8e+01
   inp  : [s =  4.6e+01] ецчштюь
   out  : [s =  1.8e+01] ECCHEST
   rev  : [s =  2.9e+01] Ecchest

#    37 : loss = -2.8e+01
   inp  : [s =  4.2e+01] оцвюйъь
   out  : [s =  1.4e+01] Oblig
   rev  : [s =  2.2e+01] Обязательство

#    38 : loss = -2.8e+01
   inp  : [s =  4.8e+01] всрдйвё
   out  : [s =  2.0e+01] VSDRIVE
   rev  : [s =  2.4e+01] VSDrive

#    39 : loss = -2.8e+01
   inp  : [s =  4.2e+01] ълвшэзш
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    40 : loss = -2.8e+01
   inp  : [s =  5.6e+01] абфпчлй
   out  : [s =  2.9e+01] Abpchl
   rev  : [s =  2.9e+01] Абпчл

#    41 : loss = -2.8e+01
   inp  : [s =  4.2e+01] ъзачфшч
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    42 : loss = -2.7e+01
   inp  : [s =  4.2e+01] ъчбгшзм
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    43 : loss = -2.7e+01
   inp  : [s =  3.7e+01] ьшнкёть
   out  : [s =  9.2e+00] Brunch
   rev  : [s =  4.0e+01] Поздний завтрак

#    44 : loss = -2.7e+01
   inp  : [s =  3.5e+01] удойююь
   out  : [s =  7.9e+00] Harvesting
   rev  : [s =  3.7e+01] Сбор урожая

#    45 : loss = -2.6e+01
   inp  : [s =  4.5e+01] сахкььй
   out  : [s =  1.9e+01] Sahki
   rev  : [s =  2.1e+01] Сахки

#    46 : loss = -2.6e+01
   inp  : [s =  4.0e+01] ъноююлё
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    47 : loss = -2.5e+01
   inp  : [s =  4.0e+01] ъййзъпь
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    48 : loss = -2.5e+01
   inp  : [s =  4.0e+01] щнвтлищ
   out  : [s =  1.5e+01] puppies
   rev  : [s =  1.4e+01] щенки

#    49 : loss = -2.5e+01
   inp  : [s =  3.9e+01] щняекйп
   out  : [s =  1.3e+01] puppy
   rev  : [s =  1.6e+01] щенок

#    50 : loss = -2.5e+01
   inp  : [s =  4.0e+01] оущкьяь
   out  : [s =  1.5e+01] Outcry
   rev  : [s =  2.2e+01] Протест

#    51 : loss = -2.5e+01
   inp  : [s =  3.8e+01] жхтяксл
   out  : [s =  1.3e+01] grunts
   rev  : [s =  1.8e+01] ворчание

#    52 : loss = -2.5e+01
   inp  : [s =  3.9e+01] ъотъжяя
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    53 : loss = -2.5e+01
   inp  : [s =  2.5e+01] ссыпяши
   out  : [s =  0.0e+00] Speed
   rev  : [s =  1.4e+01] Скорость

#    54 : loss = -2.5e+01
   inp  : [s =  3.9e+01] ъажхагв
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    55 : loss = -2.5e+01
   inp  : [s =  5.0e+01] фвтзкпв
   out  : [s =  2.5e+01] FWZKPV
   rev  : [s =  3.2e+01] Fwzkpv

#    56 : loss = -2.4e+01
   inp  : [s =  5.9e+01] пзкщлйъ
   out  : [s =  3.5e+01] Pzkshchl
   rev  : [s =  3.5e+01] Pzkshchl

#    57 : loss = -2.4e+01
   inp  : [s =  3.8e+01] ъьлрапр
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    58 : loss = -2.4e+01
   inp  : [s =  4.7e+01] бльыпиё
   out  : [s =  2.3e+01] Blipio
   rev  : [s =  2.5e+01] Блипио

#    59 : loss = -2.3e+01
   inp  : [s =  4.5e+01] чжьпфьм
   out  : [s =  2.1e+01] Chopf
   rev  : [s =  2.0e+01] Копф

#    60 : loss = -2.3e+01
   inp  : [s =  4.7e+01] стгнчнр
   out  : [s =  2.5e+01] stgns
   rev  : [s =  2.1e+01] STGNS

#    61 : loss = -2.3e+01
   inp  : [s =  3.7e+01] ъфнйент
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    62 : loss = -2.3e+01
   inp  : [s =  3.6e+01] щмёгзок
   out  : [s =  1.3e+01] puppy
   rev  : [s =  1.6e+01] щенок

#    63 : loss = -2.2e+01
   inp  : [s =  4.4e+01] нсхкгъь
   out  : [s =  2.2e+01] NSHKG
   rev  : [s =  2.9e+01] Nshkg

#    64 : loss = -2.2e+01
   inp  : [s =  5.1e+01] бфзскйт
   out  : [s =  2.9e+01] BFZSKIT
   rev  : [s =  3.8e+01] Bfzskit

#    65 : loss = -2.2e+01
   inp  : [s =  3.6e+01] ёрвшиъз
   out  : [s =  1.4e+01] Fucking
   rev  : [s =  2.3e+01] Чертовски

#    66 : loss = -2.2e+01
   inp  : [s =  3.7e+01] исёлшыр
   out  : [s =  1.6e+01] Icelander
   rev  : [s =  1.6e+01] Icelander

#    67 : loss = -2.2e+01
   inp  : [s =  5.2e+01] еыкфщць
   out  : [s =  3.1e+01] Ekfsh
   rev  : [s =  3.1e+01] Ekfsh

#    68 : loss = -2.1e+01
   inp  : [s =  4.8e+01] ыъьуящр
   out  : [s =  2.7e+01] nyuyush
   rev  : [s =  3.1e+01] Нюйюш

#    69 : loss = -2.1e+01
   inp  : [s =  4.8e+01] пмфьлкх
   out  : [s =  2.6e+01] PMFLKH
   rev  : [s =  3.4e+01] Pmflkh

#    70 : loss = -2.1e+01
   inp  : [s =  3.6e+01] ъръжовз
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    71 : loss = -2.1e+01
   inp  : [s =  4.4e+01] сьсмцтц
   out  : [s =  2.3e+01] SSMCTC
   rev  : [s =  2.3e+01] SSMCTC

#    72 : loss = -2.1e+01
   inp  : [s =  4.2e+01] пдмечйщ
   out  : [s =  2.1e+01] PDMECH
   rev  : [s =  3.0e+01] Pdmech

#    73 : loss = -2.1e+01
   inp  : [s =  4.6e+01] длрпцщз
   out  : [s =  2.5e+01] DLRPCS
   rev  : [s =  2.5e+01] DLRPCS

#    74 : loss = -2.0e+01
   inp  : [s =  3.6e+01] шывапеё
   out  : [s =  1.6e+01] SHAPE
   rev  : [s =  2.1e+01] ФОРМА

#    75 : loss = -2.0e+01
   inp  : [s =  4.9e+01] жйцыяъъ
   out  : [s =  2.9e+01] Zhitsya
   rev  : [s =  2.4e+01] Жиця

#    76 : loss = -2.0e+01
   inp  : [s =  3.4e+01] ёрёнщял
   out  : [s =  1.4e+01] Fucking
   rev  : [s =  2.3e+01] Чертовски

#    77 : loss = -2.0e+01
   inp  : [s =  4.4e+01] трпзъьу
   out  : [s =  2.4e+01] TRPZU
   rev  : [s =  2.7e+01] Trpzu

#    78 : loss = -2.0e+01
   inp  : [s =  3.4e+01] ърекяюц
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    79 : loss = -2.0e+01
   inp  : [s =  3.4e+01] ъйствшд
   out  : [s =  1.4e+01] Kommersant
   rev  : [s =  1.4e+01] Kommersant

#    80 : loss = -1.9e+01
   inp  : [s =  4.3e+01] сыщшъьш
   out  : [s =  2.4e+01] Detstance
   rev  : [s =  2.1e+01] Нахождение

#    81 : loss = -1.9e+01
   inp  : [s =  4.3e+01] вьммьрю
   out  : [s =  2.4e+01] Vommy
   rev  : [s =  2.4e+01] Vommy

#    82 : loss = -1.9e+01
   inp  : [s =  4.2e+01] нвчыбчг
   out  : [s =  2.3e+01] NVCHB
   rev  : [s =  2.3e+01] NVCHB

#    83 : loss = -1.9e+01
   inp  : [s =  4.7e+01] пэжбщрк
   out  : [s =  2.8e+01] PENBRK
   rev  : [s =  3.0e+01] Пенбрк

#    84 : loss = -1.8e+01
   inp  : [s =  4.6e+01] црьыкфь
   out  : [s =  2.7e+01] TSRICF
   rev  : [s =  2.6e+01] Tsryf

#    85 : loss = -1.8e+01
   inp  : [s =  4.4e+01] флзсиид
   out  : [s =  2.6e+01] Felsiad
   rev  : [s =  3.4e+01] Фелсиад

#    86 : loss = -1.8e+01
   inp  : [s =  5.1e+01] ёысмбцб
   out  : [s =  3.3e+01] YoSMBCB
   rev  : [s =  4.9e+01] Yosmbcb

#    87 : loss = -1.8e+01
   inp  : [s =  3.4e+01] идвыгеч
   out  : [s =  1.5e+01] elaboration
   rev  : [s =  1.9e+01] разработка

#    88 : loss = -1.8e+01
   inp  : [s =  5.3e+01] ыжыьрфь
   out  : [s =  3.5e+01] Yyzhirf
   rev  : [s =  3.5e+01] Yyzhirf

#    89 : loss = -1.8e+01
   inp  : [s =  5.1e+01] зкждлнъ
   out  : [s =  3.2e+01] Zkznln
   rev  : [s =  3.2e+01] Zkznln

#    90 : loss = -1.8e+01
   inp  : [s =  4.8e+01] сцмртэч
   out  : [s =  3.0e+01] SCMRTECH
   rev  : [s =  3.4e+01] Scmrtech

#    91 : loss = -1.8e+01
   inp  : [s =  4.7e+01] йьаёьеб
   out  : [s =  2.9e+01] Yeiab
   rev  : [s =  2.9e+01] Yeiab

#    92 : loss = -1.8e+01
   inp  : [s =  4.3e+01] здблоьп
   out  : [s =  2.5e+01] weat block
   rev  : [s =  3.1e+01] Западный блок

#    93 : loss = -1.8e+01
   inp  : [s =  4.6e+01] твъыкмю
   out  : [s =  2.8e+01] Twykmu
   rev  : [s =  2.8e+01] Twykmu

#    94 : loss = -1.8e+01
   inp  : [s =  4.9e+01] ёстщцнг
   out  : [s =  3.2e+01] Estschan
   rev  : [s =  3.2e+01] Estschan

#    95 : loss = -1.7e+01
   inp  : [s =  4.3e+01] кфъгндц
   out  : [s =  2.5e+01] KFGNC
   rev  : [s =  2.5e+01] KFGNC

#    96 : loss = -1.7e+01
   inp  : [s =  4.7e+01] оэеыъьё
   out  : [s =  3.0e+01] Oekhayo
   rev  : [s =  2.5e+01] Охайо

#    97 : loss = -1.7e+01
   inp  : [s =  4.1e+01] иёхёйшй
   out  : [s =  2.4e+01] Joheysh
   rev  : [s =  3.0e+01] Джоиш

#    98 : loss = -1.7e+01
   inp  : [s =  5.1e+01] юйьаьпщ
   out  : [s =  3.4e+01] Yuiapsh
   rev  : [s =  3.2e+01] Юйапш

#    99 : loss = -1.7e+01
   inp  : [s =  3.9e+01] ьгуъфъо
   out  : [s =  2.2e+01] BSUFO
   rev  : [s =  3.3e+01] Bsufo

#   100 : loss = -1.7e+01
   inp  : [s =  4.4e+01] гфььтсч
   out  : [s =  2.8e+01] GFITSCH
   rev  : [s =  2.8e+01] Gfitsch

#   101 : loss = -1.7e+01
   inp  : [s =  3.8e+01] ымьмящр
   out  : [s =  2.1e+01] nimysh
   rev  : [s =  2.2e+01] Нимиш

#   102 : loss = -1.7e+01
   inp  : [s =  4.6e+01] иьмлсёу
   out  : [s =  3.0e+01] Imlsey
   rev  : [s =  2.8e+01] Имлси

#   103 : loss = -1.7e+01
   inp  : [s =  4.5e+01] блпйдгд
   out  : [s =  2.9e+01] BLPDGD
   rev  : [s =  2.9e+01] BLPDGD

#   104 : loss = -1.7e+01
   inp  : [s =  3.8e+01] ьёдйдлы
   out  : [s =  2.1e+01] Featers
   rev  : [s =  2.3e+01] Функции

#   105 : loss = -1.6e+01
   inp  : [s =  4.5e+01] ыьвэъцр
   out  : [s =  2.8e+01] nyvetsr
   rev  : [s =  2.8e+01] nyvetsr

#   106 : loss = -1.6e+01
   inp  : [s =  4.3e+01] зхрьлсе
   out  : [s =  2.7e+01] Zhrls
   rev  : [s =  2.8e+01] ZHRLS

#   107 : loss = -1.6e+01
   inp  : [s =  4.7e+01] чжлпфэм
   out  : [s =  3.1e+01] ZHLPFAM
   rev  : [s =  3.1e+01] ZHLPFAM

#   108 : loss = -1.6e+01
   inp  : [s =  4.8e+01] грнкддщ
   out  : [s =  3.2e+01] Grankdsh
   rev  : [s =  3.5e+01] Гранкдш

#   109 : loss = -1.6e+01
   inp  : [s =  3.9e+01] схыкъчь
   out  : [s =  2.3e+01] SCHICH
   rev  : [s =  2.0e+01] Шух

#   110 : loss = -1.6e+01
   inp  : [s =  5.1e+01] прслкюу
   out  : [s =  3.5e+01] Translkuu
   rev  : [s =  3.7e+01] TRANSLKUU

#   111 : loss = -1.6e+01
   inp  : [s =  4.2e+01] ккиёйэй
   out  : [s =  2.6e+01] Kkiyei
   rev  : [s =  2.6e+01] Kkiyei

#   112 : loss = -1.6e+01
   inp  : [s =  5.2e+01] цсддыбг
   out  : [s =  3.6e+01] TsSddybg
   rev  : [s =  4.1e+01] Tssddybg

#   113 : loss = -1.6e+01
   inp  : [s =  5.6e+01] пслмщэц
   out  : [s =  4.0e+01] Pslmshch
   rev  : [s =  3.6e+01] PSLMSHCH

#   114 : loss = -1.6e+01
   inp  : [s =  4.9e+01] лхфооыл
   out  : [s =  3.4e+01] Lhfoil
   rev  : [s =  3.4e+01] Lhfoil

#   115 : loss = -1.6e+01
   inp  : [s =  3.6e+01] сбъгьюк
   out  : [s =  2.1e+01] SBGUK
   rev  : [s =  2.1e+01] SBGUK

#   116 : loss = -1.6e+01
   inp  : [s =  4.6e+01] тзхдьёц
   out  : [s =  3.0e+01] TZHDIC
   rev  : [s =  2.8e+01] Тхдик

#   117 : loss = -1.6e+01
   inp  : [s =  4.0e+01] йпиуёжь
   out  : [s =  2.5e+01] ipiuzh
   rev  : [s =  2.5e+01] ipiuzh

#   118 : loss = -1.6e+01
   inp  : [s =  4.2e+01] дктыуыб
   out  : [s =  2.6e+01] DKTYUB
   rev  : [s =  3.2e+01] Dktyub

#   119 : loss = -1.6e+01
   inp  : [s =  4.8e+01] бщйфййя
   out  : [s =  3.2e+01] BSHIFYYA
   rev  : [s =  4.5e+01] Bshifyya

#   120 : loss = -1.6e+01
   inp  : [s =  3.5e+01] дьеюьзн
   out  : [s =  1.9e+01] Dieue
   rev  : [s =  2.1e+01] Умирание

#   121 : loss = -1.5e+01
   inp  : [s =  4.6e+01] фпчзььн
   out  : [s =  3.1e+01] FCHZIN
   rev  : [s =  3.5e+01] Fchzin

#   122 : loss = -1.5e+01
   inp  : [s =  3.7e+01] ёыёогэе
   out  : [s =  2.2e+01] Yojoye
   rev  : [s =  2.2e+01] Yojoye

#   123 : loss = -1.5e+01
   inp  : [s =  3.0e+01] ёчяёщие
   out  : [s =  1.4e+01] Fucking
   rev  : [s =  2.3e+01] Чертовски

#   124 : loss = -1.5e+01
   inp  : [s =  4.2e+01] лгтцгьш
   out  : [s =  2.7e+01] LGTCGSH
   rev  : [s =  2.7e+01] LGTCGSH

#   125 : loss = -1.5e+01
   inp  : [s =  4.2e+01] нлнлфвп
   out  : [s =  2.7e+01] NLNLFVP
   rev  : [s =  3.8e+01] Nlnlfvp

#   126 : loss = -1.5e+01
   inp  : [s =  3.6e+01] шпыэрэд
   out  : [s =  2.1e+01] Skierad
   rev  : [s =  2.1e+01] Skierad

#   127 : loss = -1.5e+01
   inp  : [s =  4.5e+01] зчьамщъ
   out  : [s =  3.0e+01] Zchmsh
   rev  : [s =  3.0e+01] Zchmsh

#   128 : loss = -1.5e+01
   inp  : [s =  4.1e+01] ъфхпяпь
   out  : [s =  2.6e+01] Khphp
   rev  : [s =  2.6e+01] Кхфп

#   129 : loss = -1.5e+01
   inp  : [s =  4.4e+01] саььххч
   out  : [s =  2.9e+01] Sayhhch
   rev  : [s =  3.0e+01] Сайххч

#   130 : loss = -1.5e+01
   inp  : [s =  4.4e+01] вфъзлтц
   out  : [s =  3.0e+01] VFZLTC
   rev  : [s =  3.0e+01] Vfzltc

#   131 : loss = -1.5e+01
   inp  : [s =  4.7e+01] иытвщёы
   out  : [s =  3.2e+01] Ityvsh
   rev  : [s =  3.2e+01] Ityvsh

#   132 : loss = -1.5e+01
   inp  : [s =  5.0e+01] бхыуюъп
   out  : [s =  3.6e+01] BHYUPP
   rev  : [s =  2.9e+01] Бхюпп

#   133 : loss = -1.5e+01
   inp  : [s =  4.1e+01] гбэщьиэ
   out  : [s =  2.7e+01] Gbeshie
   rev  : [s =  2.8e+01] Гбеши

#   134 : loss = -1.4e+01
   inp  : [s =  3.7e+01] бшюъъкт
   out  : [s =  2.3e+01] BSHUSK
   rev  : [s =  3.5e+01] Bshusk

#   135 : loss = -1.4e+01
   inp  : [s =  4.2e+01] рпллцбё
   out  : [s =  2.7e+01] RPLLCBE
   rev  : [s =  3.3e+01] Rpllcbe

#   136 : loss = -1.4e+01
   inp  : [s =  3.9e+01] длувиъъ
   out  : [s =  2.4e+01] Dluvi
   rev  : [s =  2.3e+01] Длуви

#   137 : loss = -1.4e+01
   inp  : [s =  4.4e+01] йкыцюгъ
   out  : [s =  3.0e+01] Ykyyug
   rev  : [s =  2.5e+01] Икюг

#   138 : loss = -1.4e+01
   inp  : [s =  4.5e+01] гяоёебм
   out  : [s =  3.1e+01] Giayoebm
   rev  : [s =  3.1e+01] Giayoebm

#   139 : loss = -1.4e+01
   inp  : [s =  4.6e+01] паъжшчп
   out  : [s =  3.2e+01] PAZHSHP
   rev  : [s =  3.5e+01] Pazhshp

#   140 : loss = -1.4e+01
   inp  : [s =  4.8e+01] яюнупсй
   out  : [s =  3.4e+01] Yunupsy
   rev  : [s =  3.0e+01] Юнупси

#   141 : loss = -1.4e+01
   inp  : [s =  2.9e+01] упллпод
   out  : [s =  1.5e+01] Twisted
   rev  : [s =  1.8e+01] Искажен

#   142 : loss = -1.4e+01
   inp  : [s =  3.9e+01] ггфтбнт
   out  : [s =  2.5e+01] GGFTBN
   rev  : [s =  3.0e+01] Ggftbn

#   143 : loss = -1.4e+01
   inp  : [s =  3.8e+01] умсауые
   out  : [s =  2.4e+01] Umsau
   rev  : [s =  2.4e+01] Umsau

#   144 : loss = -1.4e+01
   inp  : [s =  4.4e+01] жьсчэып
   out  : [s =  3.0e+01] Joschep
   rev  : [s =  3.0e+01] Joschep

#   145 : loss = -1.4e+01
   inp  : [s =  5.2e+01] ъхдлйюе
   out  : [s =  3.8e+01] Khdliyu
   rev  : [s =  2.5e+01] Хдлию

#   146 : loss = -1.4e+01
   inp  : [s =  4.8e+01] кзьнхчр
   out  : [s =  3.4e+01] kznhchr
   rev  : [s =  3.7e+01] Kznhchr

#   147 : loss = -1.4e+01
   inp  : [s =  4.3e+01] йьръжиы
   out  : [s =  2.9e+01] yyrzhi
   rev  : [s =  3.0e+01] Yyrzhi

#   148 : loss = -1.4e+01
   inp  : [s =  4.5e+01] бууиуыд
   out  : [s =  3.1e+01] Buyuyd
   rev  : [s =  3.1e+01] Buyuyd

#   149 : loss = -1.4e+01
   inp  : [s =  4.2e+01] нчвзмиъ
   out  : [s =  2.8e+01] NFVZMI
   rev  : [s =  3.1e+01] Nfvzmi

#   150 : loss = -1.4e+01
   inp  : [s =  3.6e+01] нхфмфьк
   out  : [s =  2.2e+01] NHFMF
   rev  : [s =  2.2e+01] NHFMF

#   151 : loss = -1.4e+01
   inp  : [s =  3.8e+01] дтыёэиз
   out  : [s =  2.5e+01] Dieeiz
   rev  : [s =  2.5e+01] Dieeiz

#   152 : loss = -1.4e+01
   inp  : [s =  5.2e+01] тстлбсм
   out  : [s =  3.8e+01] Tstlbsm
   rev  : [s =  3.0e+01] TSTLBSM

#   153 : loss = -1.4e+01
   inp  : [s =  4.3e+01] ээёпвжп
   out  : [s =  2.9e+01] EEEPVGP
   rev  : [s =  3.7e+01] Eeepvgp

#   154 : loss = -1.3e+01
   inp  : [s =  4.2e+01] глфмврг
   out  : [s =  2.9e+01] GLFMVRG
   rev  : [s =  2.9e+01] GLFMVRG

#   155 : loss = -1.3e+01
   inp  : [s =  4.7e+01] дщяиекд
   out  : [s =  3.4e+01] Dchiakd
   rev  : [s =  3.6e+01] DCHIAKD

#   156 : loss = -1.3e+01
   inp  : [s =  4.4e+01] впптфжр
   out  : [s =  3.1e+01] VPPTFGR
   rev  : [s =  3.9e+01] Vpptfgr

#   157 : loss = -1.3e+01
   inp  : [s =  4.3e+01] ббдрлжй
   out  : [s =  3.0e+01] BBDRLZH
   rev  : [s =  3.6e+01] Bbdrlzh

#   158 : loss = -1.3e+01
   inp  : [s =  4.0e+01] туиууюф
   out  : [s =  2.7e+01] Tuiuf
   rev  : [s =  2.7e+01] Tuiuf

#   159 : loss = -1.3e+01
   inp  : [s =  4.2e+01] нйъаюак
   out  : [s =  2.9e+01] Nyauak
   rev  : [s =  3.4e+01] Ньяуак

#   160 : loss = -1.3e+01
   inp  : [s =  5.0e+01] цоуиыпг
   out  : [s =  3.7e+01] TsOUIIPG
   rev  : [s =  3.8e+01] Tsouiipg

#   161 : loss = -1.3e+01
   inp  : [s =  3.9e+01] аиъпътй
   out  : [s =  2.6e+01] AIPTY
   rev  : [s =  3.2e+01] Aipty

#   162 : loss = -1.3e+01
   inp  : [s =  4.5e+01] кмсрвфй
   out  : [s =  3.2e+01] KMSRVFY
   rev  : [s =  3.3e+01] Kmsrvfy

#   163 : loss = -1.3e+01
   inp  : [s =  4.4e+01] зюьайез
   out  : [s =  3.1e+01] Zyuayz
   rev  : [s =  2.9e+01] Зюайз

#   164 : loss = -1.3e+01
   inp  : [s =  3.9e+01] уаэёжйе
   out  : [s =  2.6e+01] Waeehhee
   rev  : [s =  2.6e+01] Waeehhee

#   165 : loss = -1.3e+01
   inp  : [s =  4.1e+01] нлчнфйм
   out  : [s =  2.8e+01] NLENFIM
   rev  : [s =  3.6e+01] Nlenfim

#   166 : loss = -1.3e+01
   inp  : [s =  5.1e+01] бьвтюья
   out  : [s =  3.8e+01] Bivotya
   rev  : [s =  2.7e+01] Бивотия

