[2023-03-05 00-40-47] d=  7, evals=1.0e+03, k= 50, k_top=  5
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    12 : loss =  2.5e+01
   inp  : [s =  3.0e+02] зсзгвлэ жаьйщсч чъръпьм чёхёшьч бжкльлш гзйкщчж жьрцэъо
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    13 : loss =  2.5e+01
   inp  : [s =  3.0e+02] бёацсжю бгаьъэы бреощее зжнмкьъ жаьйщсч ктлтксь ккзёйьи
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    14 : loss =  2.5e+01
   inp  : [s =  2.2e+02] зсзгвлэ гзйкщчж гзйкщчж гбьъьиэ оощвишн гзйкщчж чёхёшьч
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    15 : loss =  2.5e+01
   inp  : [s =  2.7e+02] жьрцэъо быелръъ жаьйщсч бреощее зжнмкьъ чъръпьм ъйлбмфь
   out  : [s =  2.5e+01] The following are the main reasons for this
   rev  : [s =  6.7e+01] Ниже перечислены основные причины этого

#    16 : loss =  2.6e+01
   inp  : [s =  2.9e+02] бёацсжю бгаьъэы гзйкщчж фйвьжиы дачэщйч бысёъгч ккзёйьи
   out  : [s =  2.6e+01] The following are some of the most important things you can do to help
   rev  : [s =  1.4e+02] Ниже перечислены некоторые из наиболее важных вещей, которые вы можете сделать, чтобы помочь

#    17 : loss =  2.6e+01
   inp  : [s =  2.8e+02] бёацсжю ъйлбмфь ктлтксь быншийя дачэщйч пдлешйщ чъръпьм
   out  : [s =  2.6e+01] The following are some of the most important things you can do to help
   rev  : [s =  1.4e+02] Ниже перечислены некоторые из наиболее важных вещей, которые вы можете сделать, чтобы помочь

#    18 : loss =  2.7e+01
   inp  : [s =  2.8e+02] бёацсжю рыьдяно бгаьъэы бжкльлш чёхёшьч бысёъгч чтьёиэе
   out  : [s =  2.7e+01] The following are some of the most important things that you can do
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее важных вещей, которые вы можете сделать

#    19 : loss =  2.7e+01
   inp  : [s =  3.4e+02] ктлтксь бфзскйт щосющйе пдлешйщ мжвлвфж рыьдяно гзйкщчж
   out  : [s =  2.7e+01] The following are the key elements of the system
   rev  : [s =  7.8e+01] Ниже перечислены ключевые элементы системы

#    20 : loss =  2.8e+01
   inp  : [s =  2.8e+02] бысёъгч жцчыщцй жьрэиэф гмххъьн бёацсжю бгаьъэы чёхёшьч
   out  : [s =  2.8e+01] the quickest way to get the most out of the system
   rev  : [s =  9.4e+01] самый быстрый способ получить максимальную отдачу от системы

#    21 : loss =  2.8e+01
   inp  : [s =  2.2e+02] жьрэиэф бжкльлш зсзгвлэ жьрцэъо бысёъгч бысёъгч бжкльлш
   out  : [s =  2.8e+01] The first one is the first one, and the second one is the second one.
   rev  : [s =  6.8e+01] Первый - это первый, а второй - это второй.

#    22 : loss =  2.8e+01
   inp  : [s =  3.0e+02] пдлешйщ зсзгвлэ быелръъ ъоэсйьл зжнмкьъ бгаьъэы ъйлбмфь
   out  : [s =  2.8e+01] The following are the most important reasons for this
   rev  : [s =  8.9e+01] Ниже перечислены наиболее важные причины этого

#    23 : loss =  2.8e+01
   inp  : [s =  2.9e+02] ыьбэъхс ъоэсйьл жьрцэъо мжвлвфж гзйкщчж жцчыщцй щосющйе
   out  : [s =  2.8e+01] The following are the most important reasons for this
   rev  : [s =  8.9e+01] Ниже перечислены наиболее важные причины этого

#    24 : loss =  2.8e+01
   inp  : [s =  2.4e+02] жаьйщсч рыьдяно жьрэиэф ъйлбмфь ъйлбмфь оощвишн быншийя
   out  : [s =  2.8e+01] The following are the most important reasons for this
   rev  : [s =  8.9e+01] Ниже перечислены наиболее важные причины этого

#    25 : loss =  2.9e+01
   inp  : [s =  2.0e+02] рыьдяно рыьдяно фйвьжиы рыьдяно жьрэиэф щосющйе рыьдяно
   out  : [s =  2.9e+01] fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish fish.
   rev  : [s =  4.1e+01] рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба-рыба.

#    26 : loss =  2.9e+01
   inp  : [s =  2.7e+02] дачэщйч щосющйе бёацсжю оощвишн быелръъ гзйкщчж ъоэсйьл
   out  : [s =  2.9e+01] The following is a list of the most important events of the year.
   rev  : [s =  9.2e+01] Ниже приводится список наиболее важных событий года.

#    27 : loss =  2.9e+01
   inp  : [s =  2.3e+02] чёхёшьч пдлешйщ бреощее чёхёшьч бёацсжю ктлтксь зжнмкьъ
   out  : [s =  2.9e+01] The following is the most important part of the book.
   rev  : [s =  7.5e+01] Ниже приводится самая важная часть книги.

#    28 : loss =  2.9e+01
   inp  : [s =  2.4e+02] чёхёшьч ктлтксь бысёъгч ъоэсйьл быелръъ чёхёшьч гмххъьн
   out  : [s =  2.9e+01] The following are some of the most common examples of the following
   rev  : [s =  8.2e+01] Ниже приведены наиболее распространенные примеры

#    29 : loss =  2.9e+01
   inp  : [s =  2.5e+02] ккзёйьи ккзёйьи фйвьжиы быншийя дачэщйч бысёъгч бёацсжю
   out  : [s =  2.9e+01] The following is a list of the most important events in the world
   rev  : [s =  9.5e+01] Ниже приводится список наиболее важных событий в мире

#    30 : loss =  2.9e+01
   inp  : [s =  2.6e+02] оощвишн бжкльлш бжкльлш щосющйе бгаьъэы дачэщйч ъоэсйьл
   out  : [s =  2.9e+01] The following is a list of the most important events in the world
   rev  : [s =  9.5e+01] Ниже приводится список наиболее важных событий в мире

#    31 : loss =  3.0e+01
   inp  : [s =  2.7e+02] пдлешйщ жцчыщцй жаьйщсч ъоэсйьл чёхёшьч бреощее ъйлбмфь
   out  : [s =  3.0e+01] The first thing you need to do is to get your hands on it.
   rev  : [s =  9.7e+01] Первое, что вам нужно сделать, - это взять его в руки.

#    32 : loss =  3.0e+01
   inp  : [s =  2.8e+02] ъоэсйьл ккзёйьи бжкльлш пдлешйщ рыьдяно жьрцэъо пдлешйщ
   out  : [s =  3.0e+01] I'm not sure what to do with it, but I'm not sure what to do with it.
   rev  : [s =  9.2e+01] Я не уверен, что с этим можно что-то сделать, но я не уверен, что с этим можно что-то сделать.

#    33 : loss =  3.0e+01
   inp  : [s =  2.7e+02] фйвьжиы фйвьжиы пдлешйщ ккзёйьи гбьъьиэ жцчыщцй ктлтксь
   out  : [s =  3.0e+01] fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye
   rev  : [s =  4.1e+01] fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fyvye fi

#    34 : loss =  3.0e+01
   inp  : [s =  2.3e+02] ъоэсйьл жьрцэъо ощуъиъв рыьдяно жьрцэъо бгаьъэы чъръпьм
   out  : [s =  3.0e+01] The following is an example of how to make a difference
   rev  : [s =  1.2e+02] Ниже приводится пример того, как можно изменить ситуацию к лучшему

#    35 : loss =  3.0e+01
   inp  : [s =  2.4e+02] бёацсжю ъйлбмфь чъръпьм бысёъгч пдлешйщ быелръъ пдлешйщ
   out  : [s =  3.0e+01] The following are some of the most important things you can do to help us
   rev  : [s =  1.3e+02] Ниже перечислены наиболее важные вещи, которые вы можете сделать, чтобы помочь нам

#    36 : loss =  3.0e+01
   inp  : [s =  2.3e+02] ккзёйьи жцчыщцй бысёъгч рыьдяно ъоэсйьл ъоэсйьл ъоэсйьл
   out  : [s =  3.0e+01] The following are some of the most important things you can do to help us
   rev  : [s =  1.3e+02] Ниже перечислены наиболее важные вещи, которые вы можете сделать, чтобы помочь нам

#    37 : loss =  3.0e+01
   inp  : [s =  2.0e+02] оощвишн быелръъ рыьдяно оощвишн быншийя бысёъгч быншийя
   out  : [s =  3.0e+01] The following is a list of the most important events in the history of the world
   rev  : [s =  1.1e+02] Ниже приводится список наиболее важных событий в истории мира

#    38 : loss =  3.0e+01
   inp  : [s =  2.6e+02] пдлешйщ фйвьжиы ъйлбмфь жаьйщсч жаьйщсч оощвишн жьрцэъо
   out  : [s =  3.0e+01] The first one is the first one, the second one is the second one, the third one is the third one
   rev  : [s =  9.1e+01] Первый - это первый, второй - это второй, третий - это третий.

#    39 : loss =  3.1e+01
   inp  : [s =  2.5e+02] чёхёшьч мжвлвфж ктлтксь чъръпьм оощвишн пдлешйщ ктлтксь
   out  : [s =  3.1e+01] The following are some of the most important aspects of the project.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных аспектов проекта.

#    40 : loss =  3.1e+01
   inp  : [s =  2.9e+02] жцчыщцй рыьдяно бгаьъэы ъйлбмфь ктлтксь мжвлвфж ощуъиъв
   out  : [s =  3.1e+01] The following are some of the most important aspects of the project.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных аспектов проекта.

#    41 : loss =  3.1e+01
   inp  : [s =  3.0e+02] ктлтксь чтьёиэе жьрэиэф зсзгвлэ чёхёшьч быншийя гмххъьн
   out  : [s =  3.1e+01] The following are some of the most important aspects of the project.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных аспектов проекта.

#    42 : loss =  3.1e+01
   inp  : [s =  2.6e+02] бысёъгч ыьбэъхс гзйкщчж ощуъиъв ощуъиъв мжвлвфж бжкльлш
   out  : [s =  3.1e+01] The following are some of the most important aspects of the project.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных аспектов проекта.

#    43 : loss =  3.1e+01
   inp  : [s =  2.6e+02] рыьдяно рыьдяно быншийя быелръъ ыьбэъхс пдлешйщ гзйкщчж
   out  : [s =  3.1e+01] The following are some of the most important aspects of this book.
   rev  : [s =  1.1e+02] Ниже приведены некоторые наиболее важные аспекты этой книги.

#    44 : loss =  3.1e+01
   inp  : [s =  2.6e+02] ъоэсйьл гмххъьн ыьбэъхс дачэщйч ощуъиъв ыьбэъхс быншийя
   out  : [s =  3.1e+01] The following is an example of how the situation can be resolved
   rev  : [s =  1.1e+02] Ниже приведен пример того, как можно разрешить данную ситуацию

#    45 : loss =  3.1e+01
   inp  : [s =  2.6e+02] зжнмкьъ ощуъиъв бысёъгч рыьдяно бысёъгч мжвлвфж жцчыщцй
   out  : [s =  3.1e+01] The following are some of the most important aspects of the story.
   rev  : [s =  1.1e+02] Ниже приведены некоторые наиболее важные аспекты этой истории.

#    46 : loss =  3.1e+01
   inp  : [s =  2.4e+02] ощуъиъв жьрэиэф жаьйщсч пдлешйщ быншийя пдлешйщ гбьъьиэ
   out  : [s =  3.1e+01] The following are some of the most important aspects of the story.
   rev  : [s =  1.1e+02] Ниже приведены некоторые наиболее важные аспекты этой истории.

#    47 : loss =  3.1e+01
   inp  : [s =  2.7e+02] ъйлбмфь ощуъиъв рыьдяно бгаьъэы гзйкщчж бысёъгч гмххъьн
   out  : [s =  3.1e+01] The following are some of the most important features of this book.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее важных особенностей этой книги.

#    48 : loss =  3.1e+01
   inp  : [s =  2.3e+02] чъръпьм ощуъиъв пдлешйщ рыьдяно ъйлбмфь гбьъьиэ рыьдяно
   out  : [s =  3.1e+01] The following are some of the most important features of the book.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее важных особенностей книги.

#    49 : loss =  3.1e+01
   inp  : [s =  2.7e+02] ощуъиъв гбьъьиэ зжнмкьъ чёхёшьч бысёъгч жьрцэъо бжкльлш
   out  : [s =  3.1e+01] The following are some of the most important features of the book.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее важных особенностей книги.

#    50 : loss =  3.1e+01
   inp  : [s =  2.9e+02] рыьдяно жаьйщсч чъръпьм бгаьъэы быелръъ ощуъиъв бфзскйт
   out  : [s =  3.1e+01] The following are some of the most important features of the book.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее важных особенностей книги.

#    51 : loss =  3.1e+01
   inp  : [s =  2.4e+02] ощуъиъв ъоэсйьл гзйкщчж бгаьъэы бжкльлш гзйкщчж оощвишн
   out  : [s =  3.1e+01] The following is a list of the most important events in the history of the world.
   rev  : [s =  1.1e+02] Ниже приводится список наиболее важных событий в истории мира.

#    52 : loss =  3.2e+01
   inp  : [s =  2.2e+02] чёхёшьч бысёъгч чтьёиэе чъръпьм чъръпьм жьрцэъо жцчыщцй
   out  : [s =  3.2e+01] hhschehschehschehschehschehschehschehschehschehschehschehschehscheh
   rev  : [s =  3.1e+01] hhschehschehschehschehschehscheh

#    53 : loss =  3.2e+01
   inp  : [s =  2.6e+02] гмххъьн бысёъгч чтьёиэе чёхёшьч быншийя жьрэиэф пдлешйщ
   out  : [s =  3.2e+01] The following are some of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже перечислены самые важные вещи, которые вы можете сделать в своей жизни

#    54 : loss =  3.2e+01
   inp  : [s =  2.7e+02] ъоэсйьл бысёъгч зсзгвлэ чъръпьм зсзгвлэ жцчыщцй пдлешйщ
   out  : [s =  3.2e+01] The following are some of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже перечислены самые важные вещи, которые вы можете сделать в своей жизни

#    55 : loss =  3.2e+01
   inp  : [s =  2.8e+02] чёхёшьч быелръъ жаьйщсч бгаьъэы ктлтксь ъоэсйьл жцчыщцй
   out  : [s =  3.2e+01] The following are some of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже перечислены самые важные вещи, которые вы можете сделать в своей жизни

#    56 : loss =  3.2e+01
   inp  : [s =  2.9e+02] мжвлвфж ккзёйьи зсзгвлэ щосющйе ккзёйьи жцчыщцй гбьъьиэ
   out  : [s =  3.2e+01] The following are the most important factors in this case
   rev  : [s =  1.0e+02] Наиболее важными факторами в данном случае являются следующие

#    57 : loss =  3.2e+01
   inp  : [s =  3.2e+02] зсзгвлэ пдлешйщ зжнмкьъ жаьйщсч ктлтксь мжвлвфж рыьдяно
   out  : [s =  3.2e+01] The following are the most important factors in this case
   rev  : [s =  1.0e+02] Наиболее важными факторами в данном случае являются следующие

#    58 : loss =  3.3e+01
   inp  : [s =  2.5e+02] чёхёшьч пдлешйщ быелръъ жьрэиэф ощуъиъв гзйкщчж гмххъьн
   out  : [s =  3.3e+01] hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hh
   rev  : [s =  4.5e+01] hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hhEs hH

#    59 : loss =  3.3e+01
   inp  : [s =  3.1e+02] пдлешйщ ыьбэъхс чъръпьм ъоэсйьл зсзгвлэ жьрцэъо гмххъьн
   out  : [s =  3.3e+01] The following are the most important issues of the future
   rev  : [s =  9.1e+01] Ниже перечислены наиболее важные вопросы будущего

#    60 : loss =  3.3e+01
   inp  : [s =  2.6e+02] быелръъ пдлешйщ щосющйе быелръъ ъйлбмфь чъръпьм ккзёйьи
   out  : [s =  3.3e+01] The following are some of the most important things you can do to make your life better.
   rev  : [s =  1.7e+02] Ниже перечислены некоторые из наиболее важных вещей, которые вы можете сделать, чтобы сделать свою жизнь лучше.

#    61 : loss =  3.3e+01
   inp  : [s =  2.9e+02] рыьдяно быелръъ бёацсжю гбьъьиэ чъръпьм бжкльлш фйвьжиы
   out  : [s =  3.3e+01] The following are some of the most common examples of this kind of behavior.
   rev  : [s =  1.1e+02] Ниже приведены наиболее распространенные примеры такого поведения.

#    62 : loss =  3.3e+01
   inp  : [s =  2.6e+02] чёхёшьч бжкльлш рыьдяно жьрэиэф гбьъьиэ жцчыщцй ктлтксь
   out  : [s =  3.3e+01] The following are some of the most common problems in the world.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее распространенных в мире проблем.

#    63 : loss =  3.3e+01
   inp  : [s =  3.0e+02] ъоэсйьл жьрэиэф ыьбэъхс быншийя оощвишн зсзгвлэ ъйлбмфь
   out  : [s =  3.3e+01] The following are some of the most common problems in the world.
   rev  : [s =  1.2e+02] Ниже перечислены некоторые из наиболее распространенных в мире проблем.

#    64 : loss =  3.3e+01
   inp  : [s =  2.7e+02] ъоэсйьл зжнмкьъ щосющйе щосющйе ккзёйьи пдлешйщ чтьёиэе
   out  : [s =  3.3e+01] I'm going to be the one to tell you what to do with it.
   rev  : [s =  8.3e+01] Я буду тем, кто скажет вам, что с ним делать.

#    65 : loss =  3.3e+01
   inp  : [s =  2.0e+02] пдлешйщ чёхёшьч быншийя жьрэиэф фйвьжиы быншийя быншийя
   out  : [s =  3.3e+01] the first one is the most important one, and the second one is the most important one.
   rev  : [s =  6.8e+01] первый - самый важный, а второй - самый важный.

#    66 : loss =  3.3e+01
   inp  : [s =  2.9e+02] жаьйщсч бысёъгч бёацсжю ктлтксь бфзскйт чтьёиэе бреощее
   out  : [s =  3.3e+01] The following is an example of how to make the most of it
   rev  : [s =  1.0e+02] Ниже приведен пример того, как можно использовать его по максимуму

#    67 : loss =  3.3e+01
   inp  : [s =  2.4e+02] жьрэиэф фйвьжиы жьрцэъо жаьйщсч бреощее жаьйщсч бысёъгч
   out  : [s =  3.3e+01] The fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji fiji
   rev  : [s =  5.0e+01] Фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи фиджи.

#    68 : loss =  3.3e+01
   inp  : [s =  2.4e+02] чъръпьм жцчыщцй чёхёшьч рыьдяно зсзгвлэ ктлтксь жцчыщцй
   out  : [s =  3.3e+01] The first one is the first one, but the second one is the second one.
   rev  : [s =  6.8e+01] Первый - это первый, а второй - это второй.

#    69 : loss =  3.3e+01
   inp  : [s =  3.0e+02] быелръъ мжвлвфж бысёъгч жьрцэъо дачэщйч зсзгвлэ чёхёшьч
   out  : [s =  3.3e+01] The following are some of the most important factors in this case
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных факторов в этом случае

#    70 : loss =  3.3e+01
   inp  : [s =  2.8e+02] ктлтксь ощуъиъв дачэщйч ъоэсйьл рыьдяно чёхёшьч пдлешйщ
   out  : [s =  3.3e+01] The following is a list of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже приведен список самых важных вещей, которые вы можете сделать в своей жизни

#    71 : loss =  3.3e+01
   inp  : [s =  2.7e+02] жаьйщсч чёхёшьч фйвьжиы бгаьъэы жьрэиэф пдлешйщ дачэщйч
   out  : [s =  3.3e+01] The following is a list of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже приведен список самых важных вещей, которые вы можете сделать в своей жизни

#    72 : loss =  3.3e+01
   inp  : [s =  2.1e+02] ъоэсйьл чёхёшьч пдлешйщ ккзёйьи ъоэсйьл чёхёшьч бреощее
   out  : [s =  3.3e+01] The following is a list of the most important things you can do in your life
   rev  : [s =  1.2e+02] Ниже приведен список самых важных вещей, которые вы можете сделать в своей жизни

#    73 : loss =  3.4e+01
   inp  : [s =  2.6e+02] дачэщйч ъйлбмфь быншийя ккзёйьи щосющйе пдлешйщ ощуъиъв
   out  : [s =  3.4e+01] The following are some of the most important things that we can do to help you
   rev  : [s =  1.4e+02] Ниже перечислены наиболее важные вещи, которые мы можем сделать, чтобы помочь вам

#    74 : loss =  3.4e+01
   inp  : [s =  2.8e+02] пдлешйщ быелръъ бысёъгч жцчыщцй бёацсжю жаьйщсч гзйкщчж
   out  : [s =  3.4e+01] The following are the most important things that we can do to help you
   rev  : [s =  1.4e+02] Ниже перечислены наиболее важные вещи, которые мы можем сделать, чтобы помочь вам

#    75 : loss =  3.4e+01
   inp  : [s =  2.9e+02] жаьйщсч ъйлбмфь чтьёиэе щосющйе жьрцэъо гзйкщчж рыьдяно
   out  : [s =  3.4e+01] The following are the most important things that we can do to help you
   rev  : [s =  1.4e+02] Ниже перечислены наиболее важные вещи, которые мы можем сделать, чтобы помочь вам

#    76 : loss =  3.4e+01
   inp  : [s =  2.8e+02] чтьёиэе бысёъгч ъоэсйьл жьрэиэф чъръпьм ккзёйьи жаьйщсч
   out  : [s =  3.4e+01] The following are some of the most important issues in the world.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных вопросов в мире.

#    77 : loss =  3.4e+01
   inp  : [s =  3.2e+02] ктлтксь чтьёиэе гмххъьн ъоэсйьл жцчыщцй чъръпьм бёацсжю
   out  : [s =  3.4e+01] The following are some of the most important issues in the world.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных вопросов в мире.

#    78 : loss =  3.4e+01
   inp  : [s =  3.0e+02] щосющйе мжвлвфж бёацсжю бгаьъэы ъйлбмфь гмххъьн чъръпьм
   out  : [s =  3.4e+01] The following are some of the most important issues in the world.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных вопросов в мире.

#    79 : loss =  3.4e+01
   inp  : [s =  2.6e+02] чёхёшьч чъръпьм оощвишн пдлешйщ гмххъьн бжкльлш жцчыщцй
   out  : [s =  3.4e+01] The following are some of the most important issues in the world.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных вопросов в мире.

#    80 : loss =  3.4e+01
   inp  : [s =  2.9e+02] бёацсжю ъйлбмфь бфзскйт жьрцэъо гзйкщчж бысёъгч ктлтксь
   out  : [s =  3.4e+01] The following are some of the most important issues in the world.
   rev  : [s =  1.1e+02] Ниже приведены некоторые из наиболее важных вопросов в мире.

#    81 : loss =  3.4e+01
   inp  : [s =  2.4e+02] пдлешйщ пдлешйщ щосющйе чёхёшьч ощуъиъв бгаьъэы бжкльлш
   out  : [s =  3.4e+01] The following are the most important things that you can do to make your life easier
   rev  : [s =  1.6e+02] Ниже перечислены наиболее важные вещи, которые вы можете сделать, чтобы облегчить свою жизнь

#    82 : loss =  3.4e+01
   inp  : [s =  3.0e+02] ктлтксь дачэщйч ъоэсйьл чтьёиэе жьрцэъо ощуъиъв гзйкщчж
   out  : [s =  3.4e+01] The following is a list of the most important things you can do for yourself.
   rev  : [s =  1.2e+02] Ниже приведен список наиболее важных вещей, которые вы можете сделать для себя.

#    83 : loss =  3.4e+01
   inp  : [s =  2.9e+02] рыьдяно жьрцэъо ыьбэъхс бгаьъэы бысёъгч фйвьжиы оощвишн
   out  : [s =  3.4e+01] The following is a list of the most important events in the world.
   rev  : [s =  9.7e+01] Ниже приводится список наиболее важных событий в мире.

#    84 : loss =  3.4e+01
   inp  : [s =  2.8e+02] быелръъ бёацсжю оощвишн ъоэсйьл жьрцэъо ккзёйьи жьрцэъо
   out  : [s =  3.4e+01] the following is a list of the most important issues for you to consider
   rev  : [s =  1.1e+02] ниже приведен список наиболее важных вопросов, которые вы должны рассмотреть

#    85 : loss =  3.4e+01
   inp  : [s =  2.8e+02] жцчыщцй бгаьъэы оощвишн щосющйе жаьйщсч ккзёйьи бгаьъэы
   out  : [s =  3.4e+01] The following is a list of the most important events in the history of the Russian Federation
   rev  : [s =  1.2e+02] Ниже приводится список наиболее важных событий в истории Российской Федерации

#    86 : loss =  3.4e+01
   inp  : [s =  2.8e+02] дачэщйч жаьйщсч гзйкщчж бысёъгч ъйлбмфь зсзгвлэ жьрэиэф
   out  : [s =  3.4e+01] The following is a list of the most important factors that can help us
   rev  : [s =  1.2e+02] Ниже приведен список наиболее важных факторов, которые могут нам помочь

#    87 : loss =  3.4e+01
